Trial,Value,Params
0,0.0390801839530468,"{'units': 32, 'dropout': 0.2678731127109153, 'learning_rate': 0.00021178811702341228, 'batch_size': 32}"
1,0.025115543976426125,"{'units': 64, 'dropout': 0.21635822622224388, 'learning_rate': 0.0001299063677936705, 'batch_size': 32}"
2,0.03066902607679367,"{'units': 32, 'dropout': 0.32162398172994694, 'learning_rate': 0.00016472374060467598, 'batch_size': 32}"
3,0.022595809772610664,"{'units': 32, 'dropout': 0.2163587658837665, 'learning_rate': 0.00041345457560162816, 'batch_size': 32}"
4,0.021545933559536934,"{'units': 32, 'dropout': 0.3674492045344478, 'learning_rate': 0.0003780859332060576, 'batch_size': 32}"
5,0.022503400221467018,"{'units': 32, 'dropout': 0.21519986761665164, 'learning_rate': 0.0006172254618834066, 'batch_size': 32}"
6,0.01679871417582035,"{'units': 96, 'dropout': 0.21307060671070543, 'learning_rate': 0.0004855953704149044, 'batch_size': 32}"
7,0.040295764803886414,"{'units': 64, 'dropout': 0.35350293612964806, 'learning_rate': 0.00026970092585283016, 'batch_size': 64}"
8,0.017640329897403717,"{'units': 96, 'dropout': 0.2821844928176944, 'learning_rate': 0.00048473710223093244, 'batch_size': 32}"
9,0.017106572166085243,"{'units': 96, 'dropout': 0.23986086848547297, 'learning_rate': 0.0008911830561017577, 'batch_size': 32}"
10,0.01903541013598442,"{'units': 96, 'dropout': 0.31844171204702687, 'learning_rate': 0.0009739430078022038, 'batch_size': 64}"
11,0.017640553414821625,"{'units': 96, 'dropout': 0.25159688888041243, 'learning_rate': 0.0009047455621843898, 'batch_size': 64}"
12,0.0165641438215971,"{'units': 96, 'dropout': 0.24428126335142886, 'learning_rate': 0.0006985942988375233, 'batch_size': 32}"
13,0.015144670382142067,"{'units': 96, 'dropout': 0.2026439980301298, 'learning_rate': 0.0006333667355395976, 'batch_size': 32}"
14,0.017007343471050262,"{'units': 96, 'dropout': 0.24690960713624782, 'learning_rate': 0.0006723484532665002, 'batch_size': 64}"
15,0.018026646226644516,"{'units': 96, 'dropout': 0.20068663859654923, 'learning_rate': 0.0006510163622644074, 'batch_size': 32}"
16,0.020246217027306557,"{'units': 96, 'dropout': 0.2890255526372196, 'learning_rate': 0.0002857791348176859, 'batch_size': 32}"
17,0.017336217686533928,"{'units': 64, 'dropout': 0.3957548083476659, 'learning_rate': 0.0007220858346797665, 'batch_size': 32}"
18,0.018703598529100418,"{'units': 96, 'dropout': 0.23754892746748157, 'learning_rate': 0.0005269375337895783, 'batch_size': 64}"
19,0.01774047501385212,"{'units': 96, 'dropout': 0.2571431187502105, 'learning_rate': 0.00037203947569908793, 'batch_size': 32}"
